unit,sex,age,region,year,value
YR,T,Y32,PT,2007,48.2
YR,M,Y26,PT,2007,50.8
YR,F,Y80,PT,2007,8.9
YR,M,Y17,PT,2007,59.4
YR,F,Y4,PT,2007,78.8
YR,M,Y63,PT,2007,18.4
YR,F,Y79,PT,2007,9.6
YR,T,Y17,PT,2007,62.7
YR,F,Y72,PT,2007,14.6
YR,T,Y71,PT,2007,14.2
YR,F,Y_LT1,PT,2007,82.5
YR,T,Y7,PT,2007,72.6
YR,F,Y14,PT,2006,68.9
YR,M,Y52,PT,2006,27.0
YR,T,Y56,PT,2006,26.2
YR,M,Y47,PT,2006,31.2
YR,M,Y44,PT,2006,33.8
YR,F,Y50,PT,2006,34.0
YR,M,Y60,PT,2006,20.5
YR,M,Y48,PT,2006,30.4
YR,T,Y32,PT,2006,48.0
YR,M,Y26,PT,2006,50.4
YR,F,Y80,PT,2006,9.0
YR,M,Y17,PT,2006,59.0
YR,F,Y4,PT,2006,78.8
YR,M,Y63,PT,2006,18.1
YR,F,Y79,PT,2006,9.6
YR,T,Y17,PT,2006,62.5
YR,F,Y72,PT,2006,14.7
YR,T,Y71,PT,2006,14.1
YR,F,Y_LT1,PT,2006,82.5
YR,T,Y7,PT,2006,72.4
YR,F,Y14,PT,2005,67.9
YR,M,Y52,PT,2005,26.5
YR,T,Y56,PT,2005,25.5
YR,M,Y47,PT,2005,30.7
YR,M,Y44,PT,2005,33.3
YR,F,Y50,PT,2005,33.1
YR,M,Y60,PT,2005,20.0
YR,M,Y48,PT,2005,29.8
YR,T,Y32,PT,2005,47.3
YR,M,Y26,PT,2005,49.8
YR,F,Y80,PT,2005,8.4
YR,M,Y17,PT,2005,58.4
YR,F,Y4,PT,2005,77.8
YR,M,Y63,PT,2005,17.7
YR,F,Y79,PT,2005,9.0
YR,T,Y17,PT,2005,61.7
YR,F,Y72,PT,2005,13.9
YR,T,Y71,PT,2005,13.5
YR,F,Y_LT1,PT,2005,81.5
YR,T,Y7,PT,2005,71.6
YR,F,Y14,PT,2004,68.2
YR,M,Y52,PT,2004,26.7
YR,T,Y56,PT,2004,25.8
YR,M,Y47,PT,2004,30.9
YR,M,Y44,PT,2004,33.5
YR,F,Y50,PT,2004,33.4
YR,M,Y60,PT,2004,20.1
YR,M,Y48,PT,2004,30.1
YR,T,Y32,PT,2004,47.6
YR,M,Y26,PT,2004,50.0
YR,F,Y80,PT,2004,8.8
YR,M,Y17,PT,2004,58.6
YR,F,Y4,PT,2004,78.1
YR,M,Y63,PT,2004,17.8
YR,F,Y79,PT,2004,9.4
YR,T,Y17,PT,2004,62.0
YR,F,Y72,PT,2004,14.3
YR,T,Y71,PT,2004,13.8
YR,F,Y_LT1,PT,2004,81.8
YR,T,Y7,PT,2004,71.8
YR,F,Y14,PT,2003,67.3
YR,M,Y52,PT,2003,26.1
YR,T,Y56,PT,2003,25.0
YR,M,Y47,PT,2003,30.3
YR,M,Y44,PT,2003,32.9
YR,F,Y50,PT,2003,32.6
YR,M,Y60,PT,2003,19.5
YR,M,Y48,PT,2003,29.4
YR,T,Y32,PT,2003,46.8
YR,M,Y26,PT,2003,49.3
YR,F,Y80,PT,2003,8.2
YR,M,Y17,PT,2003,57.8
YR,F,Y4,PT,2003,77.2
YR,M,Y63,PT,2003,17.2
YR,F,Y79,PT,2003,8.7
YR,T,Y17,PT,2003,61.1
YR,F,Y72,PT,2003,13.5
YR,T,Y71,PT,2003,13.1
YR,F,Y_LT1,PT,2003,80.8
YR,T,Y7,PT,2003,71.0
YR,F,Y14,PT,2002,67.4
YR,M,Y52,PT,2002,26.0
YR,T,Y56,PT,2002,25.1
YR,M,Y47,PT,2002,30.3
YR,M,Y44,PT,2002,32.8
YR,F,Y50,PT,2002,32.8
YR,M,Y60,PT,2002,19.5
YR,M,Y48,PT,2002,29.4
YR,T,Y32,PT,2002,46.8
YR,M,Y26,PT,2002,49.2
YR,F,Y80,PT,2002,8.4
YR,M,Y17,PT,2002,57.6
YR,F,Y4,PT,2002,77.3
YR,M,Y63,PT,2002,17.2
YR,F,Y79,PT,2002,9.0
YR,T,Y17,PT,2002,61.1
YR,F,Y72,PT,2002,13.7
YR,T,Y71,PT,2002,13.2
YR,F,Y_LT1,PT,2002,80.8
YR,T,Y7,PT,2002,70.9
YR,F,Y14,PT,2001,67.3
YR,M,Y52,PT,2001,25.9
YR,T,Y56,PT,2001,25.1
YR,M,Y47,PT,2001,30.2
YR,M,Y44,PT,2001,32.8
YR,F,Y50,PT,2001,32.7
YR,M,Y60,PT,2001,19.5
YR,M,Y48,PT,2001,29.4
YR,T,Y32,PT,2001,46.7
YR,M,Y26,PT,2001,49.0
YR,F,Y80,PT,2001,8.5
YR,M,Y17,PT,2001,57.4
YR,F,Y4,PT,2001,77.2
YR,M,Y63,PT,2001,17.2
YR,F,Y79,PT,2001,9.1
YR,T,Y17,PT,2001,60.9
YR,F,Y72,PT,2001,13.7
YR,T,Y71,PT,2001,13.2
YR,F,Y_LT1,PT,2001,80.7
YR,T,Y7,PT,2001,70.7
YR,F,Y14,PT,2000,67.0
YR,M,Y52,PT,2000,25.7
YR,T,Y56,PT,2000,24.8
YR,M,Y47,PT,2000,30.0
YR,M,Y44,PT,2000,32.6
YR,F,Y50,PT,2000,32.4
YR,M,Y60,PT,2000,19.2
YR,M,Y48,PT,2000,29.1
YR,T,Y32,PT,2000,46.4
YR,M,Y26,PT,2000,48.7
YR,F,Y80,PT,2000,8.3
YR,M,Y17,PT,2000,57.1
YR,F,Y4,PT,2000,76.9
YR,M,Y63,PT,2000,16.9
YR,F,Y79,PT,2000,8.8
YR,T,Y17,PT,2000,60.6
YR,F,Y72,PT,2000,13.5
YR,T,Y71,PT,2000,13.0
YR,F,Y_LT1,PT,2000,80.4
YR,T,Y7,PT,2000,70.4
YR,F,Y14,PT,1999,66.5
YR,M,Y52,PT,1999,25.3
YR,T,Y56,PT,1999,24.3
YR,M,Y47,PT,1999,29.5
YR,M,Y44,PT,1999,32.2
YR,F,Y50,PT,1999,31.9
YR,M,Y60,PT,1999,18.8
YR,M,Y48,PT,1999,28.7
YR,T,Y32,PT,1999,45.9
YR,M,Y26,PT,1999,48.2
YR,F,Y80,PT,1999,7.8
YR,M,Y17,PT,1999,56.5
YR,F,Y4,PT,1999,76.3
YR,M,Y63,PT,1999,16.5
YR,F,Y79,PT,1999,8.4
YR,T,Y17,PT,1999,60.0
YR,F,Y72,PT,1999,13.0
YR,T,Y71,PT,1999,12.6
YR,F,Y_LT1,PT,1999,79.8
YR,T,Y7,PT,1999,69.8
YR,F,Y14,PT,1998,66.4
YR,M,Y52,PT,1998,25.1
YR,T,Y56,PT,1998,24.2
YR,M,Y47,PT,1998,29.4
YR,M,Y44,PT,1998,32.0
YR,F,Y50,PT,1998,31.9
YR,M,Y60,PT,1998,18.7
YR,M,Y48,PT,1998,28.5
YR,T,Y32,PT,1998,45.8
YR,M,Y26,PT,1998,48.1
YR,F,Y80,PT,1998,7.8
YR,M,Y17,PT,1998,56.3
YR,F,Y4,PT,1998,76.2
YR,M,Y63,PT,1998,16.4
YR,F,Y79,PT,1998,8.4
YR,T,Y17,PT,1998,59.9
YR,F,Y72,PT,1998,13.0
YR,T,Y71,PT,1998,12.6
YR,F,Y_LT1,PT,1998,79.6
YR,T,Y7,PT,1998,69.7
YR,F,Y14,PT,1997,66.1
YR,M,Y52,PT,1997,25.0
YR,T,Y56,PT,1997,24.1
YR,M,Y47,PT,1997,29.3
YR,M,Y44,PT,1997,31.9
YR,F,Y50,PT,1997,31.7
YR,M,Y60,PT,1997,18.6
YR,M,Y48,PT,1997,28.4
YR,T,Y32,PT,1997,45.7
YR,M,Y26,PT,1997,47.9
YR,F,Y80,PT,1997,7.8
YR,M,Y17,PT,1997,56.2
YR,F,Y4,PT,1997,76.0
YR,M,Y63,PT,1997,16.4
YR,F,Y79,PT,1997,8.3
YR,T,Y17,PT,1997,59.7
YR,F,Y72,PT,1997,12.9
YR,T,Y71,PT,1997,12.5
YR,F,Y_LT1,PT,1997,79.4
YR,T,Y7,PT,1997,69.5
YR,F,Y14,PT,1996,65.8
YR,M,Y52,PT,1996,24.6
YR,T,Y56,PT,1996,23.7
YR,M,Y47,PT,1996,28.8
YR,M,Y44,PT,1996,31.5
YR,F,Y50,PT,1996,31.3
YR,M,Y60,PT,1996,18.3
YR,M,Y48,PT,1996,28.0
YR,T,Y32,PT,1996,45.2
YR,M,Y26,PT,1996,47.5
YR,F,Y80,PT,1996,7.5
YR,M,Y17,PT,1996,55.7
YR,F,Y4,PT,1996,75.6
YR,M,Y63,PT,1996,16.1
YR,F,Y79,PT,1996,8.0
YR,T,Y17,PT,1996,59.3
YR,F,Y72,PT,1996,12.6
YR,T,Y71,PT,1996,12.2
YR,F,Y_LT1,PT,1996,79.0
YR,T,Y7,PT,1996,69.1
YR,F,Y14,PT,1995,65.8
YR,M,Y52,PT,1995,24.8
YR,T,Y56,PT,1995,23.8
YR,M,Y47,PT,1995,29.0
YR,M,Y44,PT,1995,31.6
YR,F,Y50,PT,1995,31.3
YR,M,Y60,PT,1995,18.4
YR,M,Y48,PT,1995,28.2
YR,T,Y32,PT,1995,45.4
YR,M,Y26,PT,1995,47.7
YR,F,Y80,PT,1995,7.5
YR,M,Y17,PT,1995,55.8
YR,F,Y4,PT,1995,75.6
YR,M,Y63,PT,1995,16.1
YR,F,Y79,PT,1995,8.0
YR,T,Y17,PT,1995,59.4
YR,F,Y72,PT,1995,12.6
YR,T,Y71,PT,1995,12.2
YR,F,Y_LT1,PT,1995,79.0
YR,T,Y7,PT,1995,69.1
YR,F,Y14,PT,1994,66.0
YR,M,Y52,PT,1994,24.8
YR,T,Y56,PT,1994,23.9
YR,M,Y47,PT,1994,29.0
YR,M,Y44,PT,1994,31.7
YR,F,Y50,PT,1994,31.5
YR,M,Y60,PT,1994,18.4
YR,M,Y48,PT,1994,28.2
YR,T,Y32,PT,1994,45.5
YR,M,Y26,PT,1994,47.9
YR,F,Y80,PT,1994,7.6
YR,M,Y17,PT,1994,56.1
YR,F,Y4,PT,1994,75.7
YR,M,Y63,PT,1994,16.2
YR,F,Y79,PT,1994,8.2
YR,T,Y17,PT,1994,59.6
YR,F,Y72,PT,1994,12.8
YR,T,Y71,PT,1994,12.3
YR,F,Y_LT1,PT,1994,79.0
YR,T,Y7,PT,1994,69.4
YR,F,Y14,PT,1993,65.1
YR,M,Y52,PT,1993,24.0
YR,T,Y56,PT,1993,23.1
YR,M,Y47,PT,1993,28.2
YR,M,Y44,PT,1993,30.9
YR,F,Y50,PT,1993,30.6
YR,M,Y60,PT,1993,17.7
YR,M,Y48,PT,1993,27.4
YR,T,Y32,PT,1993,44.7
YR,M,Y26,PT,1993,47.1
YR,F,Y80,PT,1993,7.1
YR,M,Y17,PT,1993,55.3
YR,F,Y4,PT,1993,74.9
YR,M,Y63,PT,1993,15.5
